"","case","cc3","country","year","systemic_crisis","exch_usd","domestic_debt_in_default","sovereign_external_debt_default","gdp_weighted_default","inflation_annual_cpi","independence","currency_crises","inflation_crises","banking_crisis"
"327",2,"AGO","Angola",2001,0,0.0429250255221629,1,1,0,8.23512560540722e-06,1,1,1,0
"328",10,"CAF","Central African Republic",2001,0,1,0,1,0,1.47092056674811e-06,1,0,0,0
"329",15,"CIV","Ivory Coast",2001,0,0,0,1,0,1.49420416987427e-06,1,0,0,0
"330",19,"EGY","Egypt",2001,0,0.00603246401788678,0,0,0,1.40670875500177e-06,1,1,0,0
"331",35,"KEN","Kenya",2001,0,0.10560170864274,0,0,0,1.56100810149989e-06,1,0,0,0
"332",38,"MUS","Mauritius",2001,0,0.0408356164482081,0,0,0,1.54131708557484e-06,1,0,0,0
"333",40,"MAR","Morocco",2001,0,0.015531243662978,0,0,0,1.32403377358898e-06,1,0,0,0
"334",45,"NGA","Nigeria",2001,0,0.151752073679357,0,0,0,2.15423974755589e-06,1,0,0,0
"335",56,"ZAF","South Africa",2001,0,0.0162923552144553,0,0,0,1.55536910386778e-06,1,1,0,0
"336",63,"TUN","Tunisia",2001,0,0.0019727097811722,0,0,0,1.38651750541581e-06,1,0,0,0
"337",69,"ZMB","Zambia",2001,0,0.00501809646031339,0,0,0,2.26738350649705e-06,1,0,1,0
"338",70,"ZWE","Zimbabwe",2001,1,7.40286787050249e-28,1,1,0,6.39483014233773e-06,1,0,1,1
"339",1,"DZA","Algeria",2002,0,0.107111033827081,0,0,0,1.36118749185864e-06,1,0,0,0
"340",2,"AGO","Angola",2002,0,0.0788202151637044,1,1,0,6.24815202847162e-06,1,1,1,0
"341",10,"CAF","Central African Republic",2002,0,0.840373796046457,0,1,0,1.40066047528345e-06,1,0,0,0
"342",15,"CIV","Ivory Coast",2002,0,0,0,1,0,1.43622254099566e-06,1,0,0,0
"343",19,"EGY","Egypt",2002,0,0.00604589934977517,0,0,0,1.44213439335191e-06,1,0,0,0
"344",35,"KEN","Kenya",2002,0,0.103549058636832,0,0,0,1.39420291347893e-06,1,0,0,0
"345",38,"MUS","Mauritius",2002,0,0.0392268698078924,0,0,0,1.58783881603979e-06,1,0,0,0
"346",40,"MAR","Morocco",2002,0,0.0136597019309254,0,0,0,1.42253432900157e-06,1,0,0,0
"347",45,"NGA","Nigeria",2002,0,0.16982259506924,0,0,0,1.88202168444426e-06,1,0,0,0
"348",56,"ZAF","South Africa",2002,0,0.0116081267515683,0,0,0,1.71348841650378e-06,1,0,0,0
"349",63,"TUN","Tunisia",2002,0,0.00179240762723001,0,0,0,1.4192145965246e-06,1,0,0,0
"350",69,"ZMB","Zambia",2002,0,0.00604589934977517,0,0,0,2.30749315094483e-06,1,0,1,0
"351",70,"ZWE","Zimbabwe",2002,1,7.3894325386141e-28,1,1,0,1.03425921013754e-05,1,0,1,1
"352",1,"DZA","Algeria",2003,0,0.0975577067345233,0,0,0,1.48983849428811e-06,1,0,0,0
"353",2,"AGO","Angola",2003,0,0.106248606437834,0,1,0,5.7683369960809e-06,1,1,1,0
"354",10,"CAF","Central African Republic",2003,0,0.697783056185883,0,1,0,1.49411321829955e-06,1,0,0,0
"355",15,"CIV","Ivory Coast",2003,0,0,0,1,0,1.44609078685186e-06,1,0,0,0
"356",19,"EGY","Egypt",2003,0,0.00826702841756369,0,0,0,1.29615711593989e-06,1,1,0,0
"357",35,"KEN","Kenya",2003,0,0.102295139111688,0,0,0,1.56823875168946e-06,1,0,0,0
"358",38,"MUS","Mauritius",2003,0,0.0350496907704733,0,0,0,1.47492243603542e-06,1,0,0,0
"359",40,"MAR","Morocco",2003,0,0.0117557810490217,0,0,0,1.34904545663465e-06,1,0,0,0
"360",45,"NGA","Nigeria",2003,0,0.183392280276514,0,0,0,1.9343188399034e-06,1,0,0,0
"361",56,"ZAF","South Africa",2003,0,0.00892106037389048,0,0,0,1.56018953732749e-06,1,0,0,0
"362",63,"TUN","Tunisia",2003,0,0.00162339115207408,0,0,0,1.42003316069701e-06,1,0,0,0
"363",69,"ZMB","Zambia",2003,0,0.00591154603089128,0,0,0,2.26933896535334e-06,1,0,1,0
"364",70,"ZWE","Zimbabwe",2003,1,1.06810888512695e-26,1,1,0,2.85245460700607e-05,1,1,1,1
"365",1,"DZA","Algeria",2004,0,0.0975589159143932,0,0,0,1.47678694331701e-06,1,0,0,0
"366",2,"AGO","Angola",2004,0,0.115527449699912,0,0,0,3.27703693736982e-06,1,1,1,0
"367",10,"CAF","Central African Republic",2004,0,0.647015637599228,0,1,0,1.19410944911355e-06,1,0,0,0
"368",15,"CIV","Ivory Coast",2004,0,0,0,1,0,1.36250628969196e-06,1,0,0,0
"369",19,"EGY","Egypt",2004,0,0.008237739394047,0,0,0,1.66478384824575e-06,1,0,0,0
"370",35,"KEN","Kenya",2004,0,0.103914768370834,0,0,0,1.67728968976859e-06,1,0,0,0
"371",38,"MUS","Mauritius",2004,0,0.0378935474712886,0,0,0,1.51002974387407e-06,1,0,0,0
"372",40,"MAR","Morocco",2004,0,0.0110407526859217,0,0,0,1.36405246646206e-06,1,0,0,0
"373",45,"NGA","Nigeria",2004,0,0.177816617542832,0,1,0,1.97833940206378e-06,1,0,0,0
"374",56,"ZAF","South Africa",2004,0,0.00756409185316316,0,0,0,1.35945941193912e-06,1,0,0,0
"375",63,"TUN","Tunisia",2004,0,0.00161143370669341,0,0,0,1.46082494195513e-06,1,0,0,0
"376",69,"ZMB","Zambia",2004,0,0.00618025266865907,0,0,0,2.1133115389357e-06,1,0,0,0
"377",70,"ZWE","Zimbabwe",2004,1,7.52378585749799e-26,1,1,0,7.3329211779806e-06,1,1,1,1
"378",1,"DZA","Algeria",2005,0,0.0985883310436816,0,0,0,1.35900465406557e-06,1,0,0,0
"379",2,"AGO","Angola",2005,0,0.108529952663146,0,0,0,2.3403266694157e-06,1,1,1,0
"380",10,"CAF","Central African Republic",2005,0,0.747054335829032,0,1,0,1.42735476246129e-06,1,0,0,0
"381",15,"CIV","Ivory Coast",2005,0,0,0,1,0,1.4727850740297e-06,1,0,0,0
"382",19,"EGY","Egypt",2005,0,0.0077014009450625,0,0,0,1.69752641514191e-06,1,0,0,0
"383",35,"KEN","Kenya",2005,0,0.09722706321675,0,0,0,1.65191420042407e-06,1,0,0,0
"384",38,"MUS","Mauritius",2005,0,0.0412015948888479,0,0,0,1.51994346551763e-06,1,0,0,0
"385",40,"MAR","Morocco",2005,0,0.0124268758768468,0,0,0,1.34085981491061e-06,1,0,0,0
"386",45,"NGA","Nigeria",2005,0,0.173315781360222,0,1,0,2.1081727749645e-06,1,0,0,0
"387",56,"ZAF","South Africa",2005,0,0.00849784741940622,0,0,0,1.45045646243802e-06,1,0,0,0
"388",63,"TUN","Tunisia",2005,0,0.00183177314966299,0,0,0,1.36182415288162e-06,1,0,0,0
"389",69,"ZMB","Zambia",2005,0,0.00448740085072202,0,0,0,2.12950091923436e-06,1,0,0,0
"390",70,"ZWE","Zimbabwe",2005,1,1.13662907775773e-24,1,1,0,2.79378909095407e-05,1,1,1,1
"391",1,"DZA","Algeria",2006,0,0.0956034033580382,0,0,0,1.4014335636685e-06,1,0,0,0
"392",2,"AGO","Angola",2006,0,0.107837912152907,0,0,0,1.9012124667084e-06,1,0,0,0
"393",10,"CAF","Central African Republic",2006,0,0.669172361348415,0,1,0,1.60057203649941e-06,1,0,0,0
"394",15,"CIV","Ivory Coast",2006,0,0,0,1,0,1.40830040755922e-06,1,0,0,0
"395",19,"EGY","Egypt",2006,0,0.00766297589586171,0,0,0,1.48724637440883e-06,1,0,0,0
"396",35,"KEN","Kenya",2006,0,0.0932367696458984,0,0,0,1.57087634735609e-06,1,0,0,0
"397",38,"MUS","Mauritius",2006,0,0.0461326303985245,0,0,0,1.70225589702691e-06,1,0,0,0
"398",40,"MAR","Morocco",2006,0,0.0113617227647353,0,0,0,1.44554507740359e-06,1,0,0,0
"399",45,"NGA","Nigeria",2006,0,0.172335002132369,0,0,0,1.6698771364296e-06,1,0,0,0
"400",56,"ZAF","South Africa",2006,0,0.00936442632620732,0,0,0,1.50934760706374e-06,1,0,0,0
"401",63,"TUN","Tunisia",2006,0,0.00174269689924297,0,0,0,1.48456330295484e-06,1,0,0,0
"402",69,"ZMB","Zambia",2006,0,0.00593468167240309,0,0,0,1.70621229052686e-06,1,0,0,0
"403",70,"ZWE","Zimbabwe",2006,1,4.03059956651678e-22,1,1,0,5.95558069955022e-05,1,1,1,1
"404",1,"DZA","Algeria",2007,0,0.0897881886567866,0,0,0,1.46323515868499e-06,1,0,0,0
"405",2,"AGO","Angola",2007,0,0.100795890426263,0,0,0,1.8531900352607e-06,1,0,0,0
"406",10,"CAF","Central African Republic",2007,0,0.598668568659489,0,1,0,1.33867697711754e-06,1,0,0,0
"407",15,"CIV","Ivory Coast",2007,0,0,0,1,0,1.38237920876643e-06,1,0,0,0
"408",19,"EGY","Egypt",2007,0,0.00739453796473169,0,0,0,1.79452626957176e-06,1,0,0,0
"409",35,"KEN","Kenya",2007,0,0.0842059426104798,0,0,0,1.49011134901225e-06,1,0,0,0
"410",38,"MUS","Mauritius",2007,0,0.0379094011629169,0,0,0,1.69757189092926e-06,1,0,0,0
"411",40,"MAR","Morocco",2007,0,0.0103629401921524,0,0,0,1.38874581899624e-06,1,0,0,0
"412",45,"NGA","Nigeria",2007,0,0.158493923220951,0,0,0,1.54231755289667e-06,1,0,0,0
"413",56,"ZAF","South Africa",2007,0,0.0091494610159931,0,0,0,1.61858044829229e-06,1,0,0,0
"414",63,"TUN","Tunisia",2007,0,0.00164005096361568,0,0,0,1.45250287286903e-06,1,0,0,0
"415",69,"ZMB","Zambia",2007,0,0.00514573211325309,0,0,0,1.78070163021561e-06,1,0,0,0
"416",70,"ZWE","Zimbabwe",2007,1,2.55271305879396e-19,1,1,0,0.0030154264484973,1,1,1,1
"417",1,"DZA","Algeria",2008,0,0.0956361855678458,0,0,0,1.51694206355215e-06,1,0,0,0
"418",2,"AGO","Angola",2008,0,0.100992046271833,0,0,0,1.86301280532955e-06,1,0,0,0
"419",10,"CAF","Central African Republic",2008,0,0.633254293217614,0,1,0,1.71735385842902e-06,1,0,0,0
"420",15,"CIV","Ivory Coast",2008,0,0,0,1,0,1.58333671309157e-06,1,0,0,0
"421",19,"EGY","Egypt",2008,0,0.00739494102468834,0,0,0,1.82813287642768e-06,1,0,0,0
"422",35,"KEN","Kenya",2008,0,0.104407456917834,0,0,0,1.98288698079936e-06,1,1,0,0
"423",38,"MUS","Mauritius",2008,0,0.0426645681781746,0,0,0,1.73868200269888e-06,1,0,0,0
"424",40,"MAR","Morocco",2008,0,0.0108802004698554,0,0,0,1.47310340454119e-06,1,0,0,0
"425",45,"NGA","Nigeria",2008,0,0.17810211834546,0,0,0,1.82281220930705e-06,1,0,0,0
"426",56,"ZAF","South Africa",2008,0,0.0125015763221462,0,0,0,1.82076579887604e-06,1,1,0,0
"427",63,"TUN","Tunisia",2008,0,0.00175989412406011,0,0,0,1.51957965921879e-06,1,0,0,0
"428",69,"ZMB","Zambia",2008,0,0.0064923016870988,0,0,0,1.86228519273186e-06,1,1,0,0
"429",70,"ZWE","Zimbabwe",2008,1,2.68706637767785e-06,1,1,0,1,1,1,1,1
"430",1,"DZA","Algeria",2009,0,0.0977163780041252,0,0,0,1.55732456272407e-06,1,0,0,0
"431",2,"AGO","Angola",2009,0,0.120109180015822,0,0,0,1.9201303942484e-06,1,1,0,0
"432",10,"CAF","Central African Republic",2009,0,0.611758989245053,0,1,0,1.45632283900691e-06,1,0,0,0
"433",15,"CIV","Ivory Coast",2009,0,0,0,1,0,1.34204218538186e-06,1,0,0,0
"434",19,"EGY","Egypt",2009,0,0.00735638162216866,0,0,0,2.03468390259758e-06,1,0,0,0
"435",35,"KEN","Kenya",2009,0,0.101866686377767,0,0,0,1.77601762411797e-06,1,0,0,0
"436",38,"MUS","Mauritius",2009,0,0.0406962920565255,0,0,0,1.41057419692701e-06,1,0,0,0
"437",40,"MAR","Morocco",2009,0,0.0105603052175929,0,0,0,1.3403595812497e-06,1,0,0,0
"438",45,"NGA","Nigeria",2009,1,0.200967037919716,0,0,0,1.8665599167433e-06,1,0,0,1
"439",56,"ZAF","South Africa",2009,0,0.00991527493363128,0,0,0,1.62039947978652e-06,1,0,0,0
"440",63,"TUN","Tunisia",2009,0,0.00176983626965752,0,0,0,1.45668664530576e-06,1,0,0,0
"441",69,"ZMB","Zambia",2009,0,0.00622190219751307,0,0,0,1.90516886020835e-06,1,0,0,0
"442",70,"ZWE","Zimbabwe",2009,1,0.476685575400051,1,1,0,9.47357826921148e-07,1,1,0,1
"443",1,"DZA","Algeria",2010,0,0.100689348244388,0,0,0,1.47410387186302e-06,1,0,0,0
"444",2,"AGO","Angola",2010,0,0.124468945213605,0,0,0,1.95464651685142e-06,1,0,0,0
"445",10,"CAF","Central African Republic",2010,0,0.659556952542974,0,1,0,1.36396151488734e-06,1,0,0,0
"446",15,"CIV","Ivory Coast",2010,0,0,0,1,0,1.37801353318028e-06,1,0,0,0
"447",19,"EGY","Egypt",2010,0,0.00778255034966837,0,0,0,1.82776907012883e-06,1,0,0,0
"448",35,"KEN","Kenya",2010,0,0.108492917418417,0,0,0,1.4921122836559e-06,1,0,0,0
"449",38,"MUS","Mauritius",2010,0,0.040829973608815,0,0,0,1.42935569710494e-06,1,0,0,0
"450",40,"MAR","Morocco",2010,0,0.011227772505808,0,0,0,1.34136004857153e-06,1,0,0,0
"451",45,"NGA","Nigeria",2010,1,0.202418994236894,0,0,0,1.92008491846104e-06,1,0,0,1
"452",56,"ZAF","South Africa",2010,0,0.00890977469510423,0,0,0,1.4897475427134e-06,1,0,0,0
"453",63,"TUN","Tunisia",2010,0,0.00193186637223149,0,0,0,1.49665986239148e-06,1,0,0,0
"454",69,"ZMB","Zambia",2010,0,0.00643538962121958,0,0,0,1.68270130846393e-06,1,0,0,0
"455",70,"ZWE","Zimbabwe",2010,0,0.508124252018882,1,1,0,1.4424527238634e-06,1,0,0,0
"456",1,"DZA","Algeria",2011,0,0.10218416327029,0,0,0,1.50179862636268e-06,1,0,0,0
"457",2,"AGO","Angola",2011,0,0.128001093967062,0,0,0,1.90935263264508e-06,1,0,0,0
"458",10,"CAF","Central African Republic",2011,0,0.68111909729168,0,1,0,1.35050068183004e-06,1,0,0,0
"459",15,"CIV","Ivory Coast",2011,0,0,0,1,0,1.49843341809835e-06,1,0,0,0
"460",19,"EGY","Egypt",2011,0,0.00808390484392494,0,0,0,1.80048359771537e-06,1,0,0,0
"461",35,"KEN","Kenya",2011,0,0.114291815661469,0,0,0,1.93381860624248e-06,1,0,0,0
"462",38,"MUS","Mauritius",2011,0,0.0394058284286457,0,0,0,1.59293210422364e-06,1,0,0,0
"463",40,"MAR","Morocco",2011,0,0.0115237528673092,0,0,0,1.33740365507158e-06,1,0,0,0
"464",45,"NGA","Nigeria",2011,1,0.212636967197971,0,0,0,1.78916012666378e-06,1,0,0,1
"465",56,"ZAF","South Africa",2011,0,0.0109402564033965,0,0,0,1.52353605271874e-06,1,1,0,0
"466",63,"TUN","Tunisia",2011,0,0.0020143593100262,0,0,0,1.45718687896667e-06,1,0,0,0
"467",69,"ZMB","Zambia",2011,0,0.0068708018570585,0,0,0,1.68988648286614e-06,1,0,0,0
"468",70,"ZWE","Zimbabwe",2011,0,0.486224661040808,1,1,0,1.51989798973028e-06,1,0,0,0
"469",1,"DZA","Algeria",2012,0,0.104933300881292,0,0,0,1.70161923600393e-06,1,0,0,0
"470",2,"AGO","Angola",2012,0,0.128745257129504,0,0,0,1.76387558889398e-06,1,0,0,0
"471",10,"CAF","Central African Republic",2012,0,0.667955131027593,0,1,0,1.56328189086768e-06,1,0,0,0
"472",15,"CIV","Ivory Coast",2012,0,0,0,1,0,1.35527563950239e-06,1,0,0,0
"473",19,"EGY","Egypt",2012,0,0.00847191722886162,0,0,0,1.68952267656729e-06,1,0,0,0
"474",35,"KEN","Kenya",2012,0,0.115544929066699,0,0,0,1.72262904976229e-06,1,0,0,0
"475",38,"MUS","Mauritius",2012,0,0.0410046329233641,0,0,0,1.51907942555787e-06,1,0,0,0
"476",40,"MAR","Morocco",2012,0,0.0113306871480731,0,0,0,1.35468445426677e-06,1,0,0,0
"477",45,"NGA","Nigeria",2012,1,0.20861039823102,0,0,0,1.85209861636417e-06,1,0,0,1
"478",56,"ZAF","South Africa",2012,0,0.011421577168298,0,0,0,1.55327721764941e-06,1,0,0,0
"479",63,"TUN","Tunisia",2012,0,0.00208328256261364,0,0,0,1.52985718716119e-06,1,0,0,0
"480",69,"ZMB","Zambia",2012,0,0.00691464577866984,0,0,0,1.59516041780407e-06,1,0,0,0
"481",70,"ZWE","Zimbabwe",2012,0,0.486224661040808,1,1,0,1.46532704490335e-06,1,0,0,0
"482",1,"DZA","Algeria",2013,0,0.10499537386121,0,0,0,1.44418080378292e-06,1,0,0,0
"483",2,"AGO","Angola",2013,0,0.131075097903126,0,0,0,1.69552548049825e-06,1,0,0,0
"484",10,"CAF","Central African Republic",2013,0,0.639039953547544,0,1,0,1.59411447469489e-06,1,0,0,0
"485",15,"CIV","Ivory Coast",2013,0,0,0,0,0,1.4136665504672e-06,1,0,0,0
"486",19,"EGY","Egypt",2013,0,0.00932412033054216,0,0,0,1.61057670971768e-06,1,0,0,0
"487",35,"KEN","Kenya",2013,0,0.115960349528688,0,0,0,1.55614219225282e-06,1,0,0,0
"488",38,"MUS","Mauritius",2013,0,0.0404741117984279,0,0,0,1.48401759350657e-06,1,0,0,0
"489",40,"MAR","Morocco",2013,0,0.0109497954890373,0,0,0,1.38169707195609e-06,1,0,0,0
"490",45,"NGA","Nigeria",2013,1,0.208516350907802,0,0,0,1.68247392952715e-06,1,0,0,1
"491",56,"ZAF","South Africa",2013,0,0.014093461620942,0,0,0,1.55773384481028e-06,1,1,0,0
"492",63,"TUN","Tunisia",2013,0,0.00222098893190279,0,0,0,1.56014406154013e-06,1,0,0,0
"493",69,"ZMB","Zambia",2013,0,0.00741630320239088,0,0,0,1.61348716010845e-06,1,1,0,0
"494",70,"ZWE","Zimbabwe",2013,0,0.486224661040808,1,1,0,1.37037360090451e-06,1,0,0,0
